timestamp_ms,iso,currentTime_s,duration_s,paused,playbackRate,readyState,videoWidth,videoHeight,totalVideoFrames,droppedVideoFrames,buffered_start_s,buffered_end_s,buffered_seconds,debug_text
"1765426775259","2025-12-11T04:19:35.259Z","63.983595","3152.524375","false","1","4","1280","720","1539","0","51.468083","95.804041","31.820445999999997",
"1765426776259","2025-12-11T04:19:36.259Z","64.983077","3152.524375","false","1","4","1280","720","1563","0","51.468083","95.804041","30.820964000000004",
"1765426777259","2025-12-11T04:19:37.259Z","65.983494","3152.524375","false","1","4","1280","720","1587","0","51.468083","97.493333","31.509839000000014",
"1765426778259","2025-12-11T04:19:38.259Z","66.98274","3152.524375","false","1","4","1280","720","1611","0","51.468083","100.099999","33.11725899999999",
"1765426779259","2025-12-11T04:19:39.259Z","67.983158","3152.524375","false","1","4","1280","720","1635","0","51.468083","100.099999","32.116840999999994",
"1765426780258","2025-12-11T04:19:40.258Z","68.98233","3152.524375","false","1","4","1280","720","1659","0","58.767041","100.099999","31.117668999999992",
"1765426781259","2025-12-11T04:19:41.259Z","69.982819","3152.524375","false","1","4","1280","720","1683","0","58.767041","108.842666","38.85984699999999",
"1765426782259","2025-12-11T04:19:42.259Z","70.983617","3152.524375","false","1","4","1280","720","1707","0","58.767041","108.842666","37.859049",
"1765426783259","2025-12-11T04:19:43.259Z","71.983643","3152.524375","false","1","4","1280","720","1731","0","58.767041","108.842666","36.85902299999999",
"1765426784259","2025-12-11T04:19:44.259Z","72.98294","3152.524375","false","1","4","1280","720","1755","0","58.767041","108.842666","35.859725999999995",
"1765426785258","2025-12-11T04:19:45.258Z","73.982578","3152.524375","false","1","4","1280","720","1779","0","58.767041","108.842666","34.86008799999999",
"1765426786258","2025-12-11T04:19:46.258Z","74.982708","3152.524375","false","1","4","1280","720","1803","0","58.767041","108.842666","33.85995799999999",
"1765426787259","2025-12-11T04:19:47.259Z","75.983604","3152.524375","false","1","4","1280","720","1827","0","58.767041","108.842666","32.859061999999994",
"1765426788259","2025-12-11T04:19:48.259Z","76.983169","3152.524375","false","1","4","1280","720","1851","0","65.148416","108.842666","31.85949699999999",
"1765426789259","2025-12-11T04:19:49.259Z","77.982848","3152.524375","false","1","4","1280","720","1875","0","65.148416","108.842666","30.85981799999999",
"1765426790259","2025-12-11T04:19:50.259Z","78.983504","3152.524375","false","1","4","1280","720","1899","0","65.148416","117.546666","38.563162000000005",
"1765426791259","2025-12-11T04:19:51.259Z","79.983028","3152.524375","false","1","4","1280","720","1923","0","68.777041","117.546666","37.563638",
"1765426792259","2025-12-11T04:19:52.259Z","80.983391","3152.524375","false","1","4","1280","720","1947","0","68.777041","117.546666","36.563275000000004",
"1765426793258","2025-12-11T04:19:53.258Z","81.982655","3152.524375","false","1","4","1280","720","1971","0","68.777041","117.546666","35.56401100000001",
"1765426794259","2025-12-11T04:19:54.259Z","82.982864","3152.524375","false","1","4","1280","720","1995","0","68.777041","117.546666","34.563801999999995",
"1765426795258","2025-12-11T04:19:55.258Z","83.98237","3152.524375","false","1","4","1280","720","2019","0","73.32325","117.546666","33.564296",
"1765426796259","2025-12-11T04:19:56.259Z","84.98337","3152.524375","false","1","4","1280","720","2043","0","73.32325","117.546666","32.56329600000001",
"1765426797258","2025-12-11T04:19:57.258Z","85.982255","3152.524375","false","1","4","1280","720","2067","0","73.32325","117.546666","31.564411000000007",
"1765426798258","2025-12-11T04:19:58.258Z","86.982319","3152.524375","false","1","4","1280","720","2091","0","73.32325","117.546666","30.564346999999998",
"1765426799259","2025-12-11T04:19:59.259Z","87.983197","3152.524375","false","1","4","1280","720","2115","0","77.702625","120.370249","32.387052",
"1765426800258","2025-12-11T04:20:00.258Z","88.982504","3152.524375","false","1","4","1280","720","2139","0","77.702625","120.370249","31.387744999999995",
"1765426801258","2025-12-11T04:20:01.258Z","89.982849","3152.524375","false","1","4","1280","720","2163","0","77.702625","121.770666","31.787817000000004",
"1765426802259","2025-12-11T04:20:02.259Z","90.983571","3152.524375","false","1","4","1280","720","2187","0","79.662916","121.770666","30.787095000000008",
"1765426803259","2025-12-11T04:20:03.259Z","91.983297","3152.524375","false","1","4","1280","720","2211","0","79.662916","123.331541","31.348244000000008",
"1765426804259","2025-12-11T04:20:04.259Z","92.983525","3152.524375","false","1","4","1280","720","2234","0","79.662916","124.082291","31.098765999999998",
"1765426805260","2025-12-11T04:20:05.260Z","93.984196","3152.524375","false","1","4","1280","720","2258","0","79.662916","126.207999","32.223803000000004",
"1765426806258","2025-12-11T04:20:06.258Z","94.982821","3152.524375","false","1","4","1280","720","2282","0","79.662916","126.207999","31.225178",
